#Frame Index,  Radius of gyration [pm]
976, 1518.3654
977, 1524.9297
978, 1521.8672
979, 1525.083
980, 1523.435
981, 1521.6969
982, 1520.0589
983, 1523.6397
984, 1522.5119
985, 1520.4592
986, 1516.0305
987, 1521.1749
988, 1523.9923
989, 1520.4366
990, 1519.3476
991, 1518.3393
992, 1519.9975
993, 1523.183
994, 1523.8415
995, 1522.4434
996, 1523.0141
997, 1517.4181
998, 1526.9096
999, 1522.629
1000, 1518.2834
