Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
367,O,2.500,3.500,30.000,3
368,O,2.500,3.500,30.000,1
369,O,2.500,3.500,30.000,4
370,O,2.500,3.500,30.000,2
371,O,2.500,3.500,30.000,3
372,O,2.500,3.500,30.000,0
373,O,2.500,3.500,30.000,3
374,O,2.500,3.500,30.000,5
375,O,2.500,3.500,30.000,3
376,O,2.500,3.500,30.000,3
377,O,2.500,3.500,30.000,3
378,O,2.500,3.500,30.000,3
379,O,2.500,3.500,30.000,4
380,O,2.500,3.500,30.000,0
381,O,2.500,3.500,30.000,4
382,O,2.500,3.500,30.000,8
383,O,2.500,3.500,30.000,3
384,O,2.500,3.500,30.000,3
385,O,2.500,3.500,30.000,3
386,O,2.500,3.500,30.000,8
387,O,2.500,3.500,30.000,4
388,O,2.500,3.500,30.000,4
389,O,2.500,3.500,30.000,2
390,O,2.500,3.500,30.000,3
391,O,2.500,3.500,30.000,1
392,O,2.500,3.500,30.000,3
393,O,2.500,3.500,30.000,3
394,O,2.500,3.500,30.000,2
395,O,2.500,3.500,30.000,5
396,O,2.500,3.500,30.000,2
397,O,2.500,3.500,30.000,3
398,O,2.500,3.500,30.000,1
399,O,2.500,3.500,30.000,2
400,O,2.500,3.500,30.000,2
401,O,2.500,3.500,30.000,2
402,O,2.500,3.500,30.000,3
403,O,2.500,3.500,30.000,3
404,O,2.500,3.500,30.000,6
405,O,2.500,3.500,30.000,3
406,O,2.500,3.500,30.000,4
407,O,2.500,3.500,30.000,1
408,O,2.500,3.500,30.000,1
409,O,2.500,3.500,30.000,3
410,O,2.500,3.500,30.000,1
411,O,2.500,3.500,30.000,0
412,O,2.500,3.500,30.000,3
413,O,2.500,3.500,30.000,1
414,O,2.500,3.500,30.000,5
415,O,2.500,3.500,30.000,2
416,O,2.500,3.500,30.000,6
417,O,2.500,3.500,30.000,0
418,O,2.500,3.500,30.000,5
419,O,2.500,3.500,30.000,5
420,O,2.500,3.500,30.000,4
421,O,2.500,3.500,30.000,1
422,O,2.500,3.500,30.000,3
423,O,2.500,3.500,30.000,3
424,O,2.500,3.500,30.000,3
425,O,2.500,3.500,30.000,4
426,O,2.500,3.500,30.000,1
427,O,2.500,3.500,30.000,4
428,O,2.500,3.500,30.000,2
429,O,2.500,3.500,30.000,6
430,O,2.500,3.500,30.000,4
431,O,2.500,3.500,30.000,2
432,O,2.500,3.500,30.000,5
433,O,2.500,3.500,30.000,5
434,O,2.500,3.500,30.000,2
435,O,2.500,3.500,30.000,1
436,O,2.500,3.500,30.000,7
437,O,2.500,3.500,30.000,5
438,O,2.500,3.500,30.000,2
439,O,2.500,3.500,30.000,4
440,O,2.500,3.500,30.000,3
441,O,2.500,3.500,30.000,2
442,O,2.500,3.500,30.000,2
443,O,2.500,3.500,30.000,4
444,O,2.500,3.500,30.000,1
445,O,2.500,3.500,30.000,4
446,O,2.500,3.500,30.000,1
447,O,2.500,3.500,30.000,1
448,O,2.500,3.500,30.000,5
449,O,2.500,3.500,30.000,4
450,O,2.500,3.500,30.000,6
451,O,2.500,3.500,30.000,4
452,O,2.500,3.500,30.000,3
453,O,2.500,3.500,30.000,4
454,O,2.500,3.500,30.000,5
455,O,2.500,3.500,30.000,7
456,O,2.500,3.500,30.000,3
457,O,2.500,3.500,30.000,4
458,O,2.500,3.500,30.000,5
459,O,2.500,3.500,30.000,2
460,O,2.500,3.500,30.000,3
461,O,2.500,3.500,30.000,4
462,O,2.500,3.500,30.000,1
463,O,2.500,3.500,30.000,2
464,O,2.500,3.500,30.000,5
465,O,2.500,3.500,30.000,3
466,O,2.500,3.500,30.000,3
467,O,2.500,3.500,30.000,2
468,O,2.500,3.500,30.000,5
469,O,2.500,3.500,30.000,5
470,O,2.500,3.500,30.000,5
471,O,2.500,3.500,30.000,2
472,O,2.500,3.500,30.000,3
473,O,2.500,3.500,30.000,5
474,O,2.500,3.500,30.000,4
475,O,2.500,3.500,30.000,4
476,O,2.500,3.500,30.000,5
477,O,2.500,3.500,30.000,6
478,O,2.500,3.500,30.000,1
479,O,2.500,3.500,30.000,1
480,O,2.500,3.500,30.000,5
481,O,2.500,3.500,30.000,5
482,O,2.500,3.500,30.000,3
483,O,2.500,3.500,30.000,5
484,O,2.500,3.500,30.000,6
485,O,2.500,3.500,30.000,3
486,O,2.500,3.500,30.000,3
487,O,2.500,3.500,30.000,5
488,O,2.500,3.500,30.000,3
489,O,2.500,3.500,30.000,5
490,O,2.500,3.500,30.000,5
491,O,2.500,3.500,30.000,5
492,O,2.500,3.500,30.000,1
493,O,2.500,3.500,30.000,5
494,O,2.500,3.500,30.000,2
495,O,2.500,3.500,30.000,5
496,O,2.500,3.500,30.000,4
497,O,2.500,3.500,30.000,2
498,O,2.500,3.500,30.000,2
499,O,2.500,3.500,30.000,1
500,O,2.500,3.500,30.000,3
501,O,2.500,3.500,30.000,1
502,O,2.500,3.500,30.000,8
503,O,2.500,3.500,30.000,3
504,O,2.500,3.500,30.000,7
505,O,2.500,3.500,30.000,4
506,O,2.500,3.500,30.000,4
507,O,2.500,3.500,30.000,4
508,O,2.500,3.500,30.000,3
509,O,2.500,3.500,30.000,4
510,O,2.500,3.500,30.000,6
511,O,2.500,3.500,30.000,1
512,O,2.500,3.500,30.000,5
513,O,2.500,3.500,30.000,4
514,O,2.500,3.500,30.000,1
515,O,2.500,3.500,30.000,2
516,O,2.500,3.500,30.000,3
517,O,2.500,3.500,30.000,2
518,O,2.500,3.500,30.000,4
519,O,2.500,3.500,30.000,3
520,O,2.500,3.500,30.000,2
521,O,2.500,3.500,30.000,2
522,O,2.500,3.500,30.000,4
523,O,2.500,3.500,30.000,3
524,O,2.500,3.500,30.000,3
525,O,2.500,3.500,30.000,5
526,O,2.500,3.500,30.000,3
527,O,2.500,3.500,30.000,3
528,O,2.500,3.500,30.000,4
529,O,2.500,3.500,30.000,6
530,O,2.500,3.500,30.000,2
531,O,2.500,3.500,30.000,7
532,O,2.500,3.500,30.000,5
533,O,2.500,3.500,30.000,3
534,O,2.500,3.500,30.000,6
535,O,2.500,3.500,30.000,3
536,O,2.500,3.500,30.000,5
537,O,2.500,3.500,30.000,3
538,O,2.500,3.500,30.000,0
539,O,2.500,3.500,30.000,5
540,O,2.500,3.500,30.000,2
541,O,2.500,3.500,30.000,5
542,O,2.500,3.500,30.000,3
543,O,2.500,3.500,30.000,1
544,O,2.500,3.500,30.000,5
545,O,2.500,3.500,30.000,3
546,O,2.500,3.500,30.000,3
547,O,2.500,3.500,30.000,5
548,O,2.500,3.500,30.000,1
549,O,2.500,3.500,30.000,4
550,O,2.500,3.500,30.000,5
551,O,2.500,3.500,30.000,7
552,O,2.500,3.500,30.000,2
553,O,2.500,3.500,30.000,5
554,O,2.500,3.500,30.000,2
555,O,2.500,3.500,30.000,1
556,O,2.500,3.500,30.000,4
557,O,2.500,3.500,30.000,3
558,O,2.500,3.500,30.000,6
559,O,2.500,3.500,30.000,3
560,O,2.500,3.500,30.000,1
561,O,2.500,3.500,30.000,2
562,O,2.500,3.500,30.000,5
563,O,2.500,3.500,30.000,4
564,O,2.500,3.500,30.000,4
565,O,2.500,3.500,30.000,3
566,O,2.500,3.500,30.000,4
567,O,2.500,3.500,30.000,5
568,O,2.500,3.500,30.000,1
569,O,2.500,3.500,30.000,3
570,O,2.500,3.500,30.000,7
571,O,2.500,3.500,30.000,4
572,O,2.500,3.500,30.000,1
573,O,2.500,3.500,30.000,4
574,O,2.500,3.500,30.000,3
575,O,2.500,3.500,30.000,8
