Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
399,O,2.500,3.500,30.000,37
400,O,2.500,3.500,30.000,25
401,O,2.500,3.500,30.000,34
402,O,2.500,3.500,30.000,33
403,O,2.500,3.500,30.000,34
404,O,2.500,3.500,30.000,34
405,O,2.500,3.500,30.000,27
406,O,2.500,3.500,30.000,32
407,O,2.500,3.500,30.000,26
408,O,2.500,3.500,30.000,32
409,O,2.500,3.500,30.000,25
410,O,2.500,3.500,30.000,30
411,O,2.500,3.500,30.000,28
412,O,2.500,3.500,30.000,39
413,O,2.500,3.500,30.000,33
414,O,2.500,3.500,30.000,23
415,O,2.500,3.500,30.000,38
416,O,2.500,3.500,30.000,34
417,O,2.500,3.500,30.000,35
418,O,2.500,3.500,30.000,35
419,O,2.500,3.500,30.000,35
420,O,2.500,3.500,30.000,36
421,O,2.500,3.500,30.000,28
422,O,2.500,3.500,30.000,34
423,O,2.500,3.500,30.000,37
424,O,2.500,3.500,30.000,31
425,O,2.500,3.500,30.000,42
426,O,2.500,3.500,30.000,31
427,O,2.500,3.500,30.000,21
428,O,2.500,3.500,30.000,33
429,O,2.500,3.500,30.000,31
430,O,2.500,3.500,30.000,35
431,O,2.500,3.500,30.000,28
432,O,2.500,3.500,30.000,34
433,O,2.500,3.500,30.000,26
434,O,2.500,3.500,30.000,27
435,O,2.500,3.500,30.000,33
436,O,2.500,3.500,30.000,32
437,O,2.500,3.500,30.000,38
438,O,2.500,3.500,30.000,36
439,O,2.500,3.500,30.000,36
440,O,2.500,3.500,30.000,24
441,O,2.500,3.500,30.000,35
442,O,2.500,3.500,30.000,32
443,O,2.500,3.500,30.000,36
444,O,2.500,3.500,30.000,37
445,O,2.500,3.500,30.000,28
446,O,2.500,3.500,30.000,35
447,O,2.500,3.500,30.000,43
448,O,2.500,3.500,30.000,40
449,O,2.500,3.500,30.000,33
450,O,2.500,3.500,30.000,35
451,O,2.500,3.500,30.000,28
452,O,2.500,3.500,30.000,32
453,O,2.500,3.500,30.000,25
454,O,2.500,3.500,30.000,35
455,O,2.500,3.500,30.000,44
456,O,2.500,3.500,30.000,29
457,O,2.500,3.500,30.000,32
458,O,2.500,3.500,30.000,28
459,O,2.500,3.500,30.000,48
460,O,2.500,3.500,30.000,36
461,O,2.500,3.500,30.000,33
462,O,2.500,3.500,30.000,28
463,O,2.500,3.500,30.000,31
464,O,2.500,3.500,30.000,26
465,O,2.500,3.500,30.000,34
466,O,2.500,3.500,30.000,26
467,O,2.500,3.500,30.000,31
468,O,2.500,3.500,30.000,27
469,O,2.500,3.500,30.000,35
470,O,2.500,3.500,30.000,28
471,O,2.500,3.500,30.000,33
472,O,2.500,3.500,30.000,24
473,O,2.500,3.500,30.000,27
474,O,2.500,3.500,30.000,42
475,O,2.500,3.500,30.000,29
476,O,2.500,3.500,30.000,45
477,O,2.500,3.500,30.000,40
478,O,2.500,3.500,30.000,36
479,O,2.500,3.500,30.000,33
480,O,2.500,3.500,30.000,40
481,O,2.500,3.500,30.000,31
482,O,2.500,3.500,30.000,37
483,O,2.500,3.500,30.000,32
484,O,2.500,3.500,30.000,30
485,O,2.500,3.500,30.000,36
486,O,2.500,3.500,30.000,33
487,O,2.500,3.500,30.000,40
488,O,2.500,3.500,30.000,34
489,O,2.500,3.500,30.000,31
490,O,2.500,3.500,30.000,35
491,O,2.500,3.500,30.000,37
492,O,2.500,3.500,30.000,37
493,O,2.500,3.500,30.000,36
494,O,2.500,3.500,30.000,37
495,O,2.500,3.500,30.000,26
496,O,2.500,3.500,30.000,26
497,O,2.500,3.500,30.000,37
498,O,2.500,3.500,30.000,34
499,O,2.500,3.500,30.000,34
500,O,2.500,3.500,30.000,33
501,O,2.500,3.500,30.000,35
502,O,2.500,3.500,30.000,33
503,O,2.500,3.500,30.000,41
504,O,2.500,3.500,30.000,32
505,O,2.500,3.500,30.000,35
506,O,2.500,3.500,30.000,40
507,O,2.500,3.500,30.000,32
508,O,2.500,3.500,30.000,23
509,O,2.500,3.500,30.000,35
510,O,2.500,3.500,30.000,36
511,O,2.500,3.500,30.000,39
512,O,2.500,3.500,30.000,35
513,O,2.500,3.500,30.000,40
514,O,2.500,3.500,30.000,46
515,O,2.500,3.500,30.000,42
516,O,2.500,3.500,30.000,33
517,O,2.500,3.500,30.000,36
518,O,2.500,3.500,30.000,37
519,O,2.500,3.500,30.000,31
520,O,2.500,3.500,30.000,38
521,O,2.500,3.500,30.000,34
522,O,2.500,3.500,30.000,38
523,O,2.500,3.500,30.000,36
524,O,2.500,3.500,30.000,34
525,O,2.500,3.500,30.000,42
526,O,2.500,3.500,30.000,33
527,O,2.500,3.500,30.000,37
528,O,2.500,3.500,30.000,41
529,O,2.500,3.500,30.000,36
530,O,2.500,3.500,30.000,41
531,O,2.500,3.500,30.000,37
532,O,2.500,3.500,30.000,41
533,O,2.500,3.500,30.000,34
534,O,2.500,3.500,30.000,35
535,O,2.500,3.500,30.000,38
536,O,2.500,3.500,30.000,35
537,O,2.500,3.500,30.000,38
538,O,2.500,3.500,30.000,44
539,O,2.500,3.500,30.000,44
540,O,2.500,3.500,30.000,34
541,O,2.500,3.500,30.000,32
542,O,2.500,3.500,30.000,43
543,O,2.500,3.500,30.000,42
544,O,2.500,3.500,30.000,47
545,O,2.500,3.500,30.000,45
546,O,2.500,3.500,30.000,36
547,O,2.500,3.500,30.000,52
548,O,2.500,3.500,30.000,26
549,O,2.500,3.500,30.000,37
550,O,2.500,3.500,30.000,49
551,O,2.500,3.500,30.000,43
552,O,2.500,3.500,30.000,44
553,O,2.500,3.500,30.000,37
554,O,2.500,3.500,30.000,42
555,O,2.500,3.500,30.000,38
556,O,2.500,3.500,30.000,47
557,O,2.500,3.500,30.000,42
558,O,2.500,3.500,30.000,32
559,O,2.500,3.500,30.000,33
560,O,2.500,3.500,30.000,42
561,O,2.500,3.500,30.000,41
