#Frame Index,  Radius of gyration [pm]
796, 1705.3516
797, 1691.2743
798, 1703.5103
799, 1692.8935
800, 1697.3671
801, 1697.8487
802, 1697.509
803, 1685.472
804, 1698.1676
805, 1682.3931
806, 1698.2724
807, 1701.4079
808, 1692.6458
809, 1699.2624
810, 1705.1138
811, 1699.3478
812, 1708.2612
813, 1712.3289
814, 1690.2594
815, 1699.3241
816, 1691.0816
817, 1696.2482
818, 1683.603
819, 1693.9104
820, 1691.9701
821, 1693.4195
822, 1696.2036
823, 1697.7447
824, 1689.9452
825, 1686.1166
826, 1686.2618
827, 1690.9483
828, 1682.4644
829, 1693.0279
830, 1689.3463
831, 1690.9295
832, 1685.986
833, 1697.1846
834, 1697.9699
835, 1696.2405
836, 1703.9069
837, 1694.5229
838, 1704.5801
839, 1697.5975
840, 1694.1611
841, 1699.1528
842, 1697.7537
843, 1684.6553
844, 1694.0581
845, 1687.5939
846, 1694.1337
847, 1692.1904
848, 1679.7674
849, 1686.7057
850, 1686.4406
851, 1687.088
852, 1682.1837
853, 1682.3887
854, 1681.873
855, 1695.7294
856, 1690.3518
857, 1687.9478
858, 1686.7422
859, 1684.0595
860, 1684.0961
861, 1684.6201
862, 1686.2496
863, 1688.2113
864, 1685.7015
865, 1695.3283
866, 1695.7309
867, 1696.016
868, 1678.6879
869, 1684.0329
870, 1697.024
871, 1688.8351
872, 1679.339
873, 1691.6941
874, 1691.2743
875, 1691.4778
876, 1692.5078
877, 1676.9438
878, 1694.1655
879, 1685.3208
880, 1696.1627
881, 1683.9313
882, 1680.4915
883, 1691.6814
884, 1674.4722
885, 1678.892
886, 1684.6934
887, 1683.7945
888, 1682.2779
889, 1677.4562
890, 1684.5774
891, 1686.2988
892, 1683.3931
893, 1685.1784
894, 1681.4576
895, 1677.6327
896, 1681.4595
897, 1682.5065
898, 1684.651
899, 1683.4666
900, 1682.4005
901, 1677.3366
902, 1683.1032
903, 1677.4125
904, 1681.9329
905, 1677.7981
906, 1680.6104
907, 1681.6899
908, 1677.8495
909, 1674.9837
910, 1679.7084
911, 1677.7794
912, 1676.7094
913, 1679.7557
914, 1674.6396
915, 1680.7454
916, 1683.1292
917, 1682.9874
918, 1697.3254
919, 1685.8226
920, 1678.588
921, 1686.3292
922, 1677.2696
923, 1682.4328
924, 1688.7725
925, 1688.5022
926, 1684.8467
927, 1687.3279
928, 1684.3546
929, 1682.1088
930, 1682.1206
931, 1686.1967
932, 1685.586
933, 1682.9729
934, 1683.3882
935, 1682.9477
936, 1682.6452
937, 1676.004
938, 1679.4546
939, 1679.5213
940, 1673.8144
941, 1676.7406
942, 1680.4042
943, 1679.4665
944, 1675.3482
945, 1676.7575
946, 1674.8464
947, 1680.0175
948, 1670.7272
949, 1671.8922
950, 1677.085
951, 1669.7584
952, 1683.9578
953, 1673.5201
954, 1676.3941
955, 1672.4218
956, 1666.2023
957, 1675.105
958, 1677.1791
959, 1677.9792
960, 1673.6377
961, 1674.401
962, 1674.9036
963, 1672.9168
964, 1674.7585
965, 1676.31
